t_s,pos,speed_raw,speed_mag,speed,load,voltage,temp,status,moving
0.050220,3903,0,0,0,48,119,36,0,1
0.054038,3903,0,0,0,56,119,36,0,1
0.057033,3903,0,0,0,56,120,36,0,1
0.059991,3903,0,0,0,56,120,36,0,1
0.063155,3903,0,0,0,64,120,36,0,1
0.067066,3902,0,0,0,52,120,36,0,1
0.070074,3902,0,0,0,52,119,36,0,1
0.072990,3902,0,0,0,60,120,36,0,1
0.076020,3901,0,0,0,52,119,36,0,1
0.079022,3901,0,0,0,60,119,36,0,1
0.082018,3901,32868,100,-100,60,120,36,0,1
0.085032,3901,32868,100,-100,60,120,36,0,1
0.087992,3900,32868,100,-100,56,120,36,0,1
0.090980,3900,32868,100,-100,56,120,36,0,1
0.094026,3900,32868,100,-100,64,120,36,0,1
0.097014,3900,32868,100,-100,64,120,36,0,1
0.100122,3899,32818,50,-50,64,120,37,0,1
0.104098,3899,32818,50,-50,64,120,36,0,1
0.107982,3898,32818,50,-50,72,119,36,0,1
0.110975,3898,32818,50,-50,72,120,36,0,1
0.113974,3898,32818,50,-50,80,120,36,0,1
0.117002,3897,32818,50,-50,72,119,36,0,1
0.119976,3897,32918,150,-150,80,120,36,0,1
0.123083,3896,32918,150,-150,72,119,36,0,1
0.126095,3895,32918,150,-150,64,119,36,0,1
0.130090,3895,32918,150,-150,72,120,36,0,1
0.134071,3894,32918,150,-150,64,120,36,0,1
0.137069,3893,32918,150,-150,64,119,36,0,1
0.139977,3893,32968,200,-200,64,120,36,0,1
0.142984,3892,32968,200,-200,64,119,36,0,1
0.146089,3892,32968,200,-200,72,120,36,0,1
0.149020,3891,32968,200,-200,64,120,36,0,1
0.152002,3891,32968,200,-200,72,120,36,0,1
0.155034,3890,32968,200,-200,64,120,36,0,1
0.158003,3890,32968,200,-200,72,119,36,0,1
0.160993,3889,32918,150,-150,72,120,36,0,1
0.164013,3889,32918,150,-150,72,120,36,0,1
0.167044,3888,32918,150,-150,76,119,36,0,1
0.170122,3888,32918,150,-150,84,120,36,0,1
0.174087,3887,32918,150,-150,76,120,36,0,1
0.177012,3887,32918,150,-150,84,119,36,0,1
0.180000,3886,32968,200,-200,84,119,36,0,1
0.183041,3886,32968,200,-200,92,120,36,0,1
0.186019,3885,32968,200,-200,84,120,36,0,1
0.189012,3885,32968,200,-200,92,120,36,0,1
0.192089,3884,32968,200,-200,92,120,36,0,1
0.195008,3884,32968,200,-200,92,120,36,0,1
0.198052,3883,32968,200,-200,92,120,36,0,1
0.201036,3883,32918,150,-150,100,120,36,0,1
0.204131,3882,32918,150,-150,104,120,36,0,1
0.208100,3881,32918,150,-150,104,119,36,0,1
0.212059,3880,32918,150,-150,104,120,37,0,1
0.215037,3880,32918,150,-150,112,119,36,0,1
0.218048,3879,32918,150,-150,104,119,36,0,1
0.221103,3878,32968,200,-200,104,120,36,0,1
0.225029,3877,32968,200,-200,96,119,36,0,1
