cap,start,target,end,moved,t_pos_s,deg_s,decoded_speed_med
1,3902,3862,3863,-39,0.6790389729430899,5.047919945071072,50
2,3901,3861,3862,-39,0.6900594979524612,4.967302653134613,50
5,3899,3859,3861,-38,0.6680146940052509,4.999656115309564,50
10,3898,3858,3859,-39,0.6770623660413548,5.06265677568414,50
30,3897,3857,3858,-39,0.700133949983865,4.8958265415910684,50
50,3896,3856,3857,-39,0.6822156109847128,5.024415038014733,50
