t_s,pos,speed_raw,speed_mag,speed,load,voltage,temp,status,moving
0.000000,4092,0,0,0,0,119,36,0,1
0.004121,4092,0,0,0,0,120,36,0,1
0.007925,4092,0,0,0,0,119,36,0,1
0.010899,4092,0,0,0,0,120,37,0,1
0.013917,4092,0,0,0,0,120,36,0,1
0.016898,4092,0,0,0,0,119,37,0,1
0.019896,4092,0,0,0,0,120,36,0,1
0.022886,4092,0,0,0,0,120,36,0,1
0.025928,4092,0,0,0,0,120,37,0,1
0.028892,4092,0,0,0,0,119,36,0,1
0.031880,4092,0,0,0,0,120,36,0,1
0.035029,4092,0,0,0,24,120,37,0,1
0.037955,4092,0,0,0,24,120,36,0,1
0.040879,4092,0,0,0,28,120,37,0,1
0.043942,4092,0,0,0,28,120,37,0,1
0.046886,4092,0,0,0,28,120,36,0,1
0.049921,4092,0,0,0,36,120,37,0,1
0.052894,4092,0,0,0,36,120,37,0,1
0.055903,4092,0,0,0,36,120,37,0,1
0.058879,4092,0,0,0,36,120,36,0,1
0.061896,4092,0,0,0,44,120,37,0,1
0.064992,4092,0,0,0,44,120,37,0,1
0.068043,4092,0,0,0,44,119,36,0,1
0.071903,4092,0,0,0,44,119,36,0,1
0.074914,4092,0,0,0,52,120,37,0,1
0.077891,4092,0,0,0,52,119,36,0,1
0.080998,4092,0,0,0,56,119,37,0,1
0.083905,4092,0,0,0,64,120,36,0,1
0.086880,4092,0,0,0,64,119,36,0,1
0.089879,4092,0,0,0,64,120,36,0,1
0.092879,4092,0,0,0,64,119,37,0,1
0.095902,4092,0,0,0,72,120,37,0,1
0.099047,4092,0,0,0,72,119,37,0,1
0.102904,4091,0,0,0,64,120,37,0,1
0.105915,4091,0,0,0,72,120,37,0,1
0.108911,4090,0,0,0,64,120,37,0,1
0.111906,4090,0,0,0,64,120,37,0,1
0.114942,4090,32868,100,-100,72,120,37,0,1
0.117906,4090,32868,100,-100,72,119,37,0,1
0.120885,4090,32868,100,-100,64,120,36,0,1
0.123904,4089,32868,100,-100,64,120,37,0,1
0.126887,4089,32868,100,-100,64,119,37,0,1
0.130052,4088,32868,100,-100,56,119,37,0,1
0.133958,4088,32868,100,-100,64,120,36,0,1
0.136894,4088,32868,100,-100,64,119,36,0,1
0.139883,4087,32868,100,-100,52,120,36,0,1
0.142887,4087,32868,100,-100,52,119,36,0,1
0.145951,4086,32868,100,-100,52,119,36,0,1
0.148893,4086,32868,100,-100,52,120,36,0,1
0.151886,4085,32868,100,-100,44,119,36,0,1
0.154900,4085,32918,150,-150,52,120,36,0,1
0.157884,4085,32918,150,-150,52,120,36,0,1
0.161085,4084,32918,150,-150,44,120,37,0,1
0.164169,4084,32918,150,-150,52,120,36,0,1
0.167923,4084,32918,150,-150,52,119,37,0,1
0.170893,4084,32918,150,-150,52,119,37,0,1
0.173936,4083,32868,100,-100,52,120,37,0,1
0.176911,4083,32868,100,-100,52,120,36,0,1
0.179888,4083,32868,100,-100,60,120,36,0,1
0.182895,4083,32868,100,-100,68,120,37,0,1
0.185908,4083,32868,100,-100,68,120,36,0,1
0.188885,4083,32868,100,-100,68,120,37,0,1
0.192067,4083,32868,100,-100,68,120,36,0,1
0.196005,4083,0,0,0,76,120,36,0,1
0.198899,4083,0,0,0,80,120,37,0,1
0.201914,4082,0,0,0,72,120,37,0,1
0.204907,4082,0,0,0,80,120,37,0,1
0.207912,4081,0,0,0,72,120,37,0,1
0.210910,4081,0,0,0,72,120,36,0,1
0.213913,4080,32918,150,-150,72,120,36,0,1
0.216890,4080,32918,150,-150,72,119,37,0,1
0.219888,4079,32918,150,-150,52,120,36,0,1
0.222887,4079,32918,150,-150,60,119,37,0,1
0.225904,4078,32918,150,-150,52,119,37,0,1
0.228915,4078,32918,150,-150,52,120,36,0,1
0.231921,4077,32918,150,-150,44,120,37,0,1
0.235131,4077,32918,150,-150,52,120,37,0,1
0.238921,4076,32918,150,-150,40,120,36,0,1
0.241891,4076,32918,150,-150,40,119,37,0,1
0.244945,4076,32918,150,-150,48,119,37,0,1
0.247905,4075,32918,150,-150,40,120,37,0,1
0.250891,4075,32918,150,-150,40,120,36,0,1
0.253913,4075,32868,100,-100,48,120,36,0,1
0.256891,4075,32868,100,-100,48,120,36,0,1
0.259890,4074,32868,100,-100,48,120,36,0,1
0.262940,4074,32868,100,-100,56,119,37,0,1
0.266136,4074,32868,100,-100,56,120,37,0,1
0.269903,4073,32868,100,-100,48,120,37,0,1
0.272891,4073,32868,100,-100,56,120,36,0,1
0.275909,4073,32868,100,-100,56,119,37,0,1
0.278922,4072,32868,100,-100,48,120,37,0,1
