cap,start,target,end,moved,t_pos_s,deg_s,rpm_per_lsb,decoded_speed_med
100,3895,3671,3672,-223,2.1682116519659758,9.039527740397718,0.01506587956732953,100
200,3893,3669,3670,-223,1.1410584180848673,17.176692327370624,0.014313910272808855,200
300,3892,3668,3670,-222,0.8529965969501063,22.874321913785177,0.012707956618769542,250
