t_s,pos,raw_speed,decoded_speed,load,voltage,temp,status,moving
0.000001,3670,0,0,0,120,33,0,1
0.003250,3670,0,0,0,120,33,0,1
0.006187,3670,0,0,0,119,33,0,1
0.009175,3670,0,0,0,120,33,0,1
0.012249,3670,0,0,0,119,33,0,1
0.015497,3670,0,0,0,120,33,0,1
0.019228,3670,0,0,1052,120,34,0,1
0.022243,3670,0,0,1052,119,33,0,1
0.025190,3670,0,0,1052,120,33,0,1
0.028201,3670,0,0,1060,119,34,0,1
0.031177,3670,0,0,1060,120,33,0,1
0.034170,3670,0,0,1060,120,33,0,1
0.037199,3670,0,0,1060,119,33,0,1
0.040178,3670,0,0,1072,120,33,0,1
0.043175,3670,0,0,1072,120,34,0,1
0.046175,3670,0,0,1072,120,33,0,1
0.049280,3670,0,0,1080,120,33,0,1
0.052266,3670,0,0,1080,120,33,0,1
0.055220,3670,0,0,1080,120,33,0,1
0.058212,3670,0,0,1088,120,33,0,1
0.061212,3671,0,0,1080,119,33,0,1
0.064229,3671,0,0,1088,120,33,0,1
0.067181,3671,0,0,1088,120,33,0,1
0.070199,3671,0,0,1088,120,33,0,1
0.073183,3671,50,50,1096,120,34,0,1
0.076190,3671,50,50,1096,120,33,0,1
0.079177,3671,50,50,1104,120,34,0,1
0.082180,3672,50,50,1096,120,33,0,1
0.085326,3672,50,50,1104,119,34,0,1
0.088647,3673,50,50,1096,120,33,0,1
0.092334,3674,150,150,1096,119,33,0,1
0.095473,3674,150,150,1096,119,34,0,1
0.099279,3675,150,150,1084,119,33,0,1
0.102227,3675,150,150,1084,120,34,0,1
0.105208,3676,150,150,1076,120,33,0,1
0.108177,3677,150,150,1076,120,33,0,1
0.111177,3677,150,150,1076,120,33,0,1
0.114179,3677,150,150,1084,120,33,0,1
0.117204,3678,150,150,1076,120,33,0,1
0.120201,3678,150,150,1088,119,33,0,1
0.123274,3678,150,150,1088,119,33,0,1
0.126319,3679,150,150,1088,119,33,0,1
0.130482,3680,150,150,1080,120,33,0,1
0.134190,3680,150,150,1088,120,33,0,1
0.137203,3681,150,150,1080,120,33,0,1
0.140190,3681,150,150,1088,120,34,0,1
0.143176,3682,150,150,1080,119,33,0,1
0.146180,3682,150,150,1088,120,33,0,1
0.149177,3682,150,150,1088,119,33,0,1
0.152175,3683,150,150,1088,120,38,0,1
0.155218,3683,150,150,1088,119,33,0,1
0.158224,3684,150,150,1080,120,33,0,1
0.161323,3684,150,150,1088,120,33,0,1
0.165313,3685,150,150,1088,120,33,0,1
0.169227,3685,150,150,1088,119,34,0,1
0.172269,3686,150,150,1088,120,33,0,1
0.175185,3686,150,150,1088,120,33,0,1
0.178191,3687,150,150,1080,120,33,0,1
0.181212,3687,150,150,1088,120,33,0,1
0.184189,3687,150,150,1088,120,33,0,1
0.187214,3687,150,150,1096,120,47,0,1
0.190190,3688,150,150,1088,120,33,0,1
0.193182,3688,100,100,1096,120,33,0,1
0.196178,3688,100,100,1096,120,33,0,1
