t_s,pos,speed,load,voltage,temp,status,moving
0.000001,3794,0,0,120,33,0,1
0.003185,3794,0,0,120,33,0,1
0.006127,3794,0,0,120,33,0,1
0.009118,3794,0,0,120,33,0,1
0.012110,3794,0,0,119,33,0,1
0.015250,3794,0,0,120,33,0,1
0.019226,3794,0,1048,120,33,0,1
0.022129,3794,0,1048,120,33,0,1
0.025150,3794,0,1048,119,33,0,1
0.028154,3794,0,1056,120,33,0,1
0.031113,3794,0,1064,120,33,0,1
0.034147,3794,0,1064,120,33,0,1
0.037127,3794,0,1064,120,33,0,1
0.040117,3794,0,1072,120,33,0,1
0.043114,3794,0,1072,119,33,0,1
0.046115,3794,0,1072,119,33,0,1
0.049111,3794,0,1080,120,33,0,1
0.052275,3794,0,1080,120,33,0,1
0.056237,3794,0,1080,120,33,0,1
0.060167,3794,0,1088,119,33,0,1
0.063148,3795,0,1080,119,33,0,1
0.066118,3795,50,1080,120,33,0,1
0.069143,3795,50,1088,120,33,0,1
0.072116,3795,50,1084,120,33,0,1
0.075120,3795,50,1084,120,45,0,1
0.078116,3796,50,1084,120,34,0,1
0.081115,3796,50,1084,120,33,0,1
0.084158,3797,100,1076,119,33,0,1
0.087289,3797,100,1084,120,33,0,1
0.091300,3798,100,1072,120,33,0,1
0.094516,3798,100,1072,120,33,0,1
0.098271,3799,100,1072,120,33,0,1
0.102205,3799,100,1072,119,33,0,1
0.105124,3799,100,1072,120,33,0,1
0.108119,3799,100,1080,120,33,0,1
0.111122,3800,100,1068,120,33,0,1
0.114123,3800,100,1068,120,33,0,1
0.117151,3801,100,1060,120,33,0,1
0.120120,3801,100,1068,120,33,0,1
0.123123,3801,100,1068,120,33,0,1
0.126123,3802,100,1060,120,33,0,1
0.129120,3802,100,1068,119,33,0,1
0.132161,3802,100,1072,119,33,0,1
0.135259,3803,100,1064,120,33,0,1
0.139189,3803,100,1072,120,33,0,1
0.142385,3803,100,1072,119,33,0,1
0.146174,3804,100,1064,120,33,0,1
0.149177,3804,100,1072,119,33,0,1
0.152153,3804,100,1072,120,33,0,1
0.155190,3805,100,1064,120,33,0,1
0.158149,3805,100,1072,120,33,0,1
0.161133,3805,100,1072,120,33,0,1
0.164162,3805,100,1072,120,33,0,1
0.167133,3805,100,1072,120,33,0,1
0.170161,3806,100,1072,120,33,0,1
0.173264,3806,100,1072,120,33,0,1
0.177215,3807,100,1064,120,33,0,1
0.180171,3807,100,1072,119,33,0,1
0.183154,3807,100,1072,120,33,0,1
0.186149,3808,100,1064,120,33,0,1
0.189143,3808,100,1072,119,33,0,1
0.192121,3808,100,1072,120,33,0,1
0.195123,3808,100,1072,119,33,0,1
0.198122,3809,100,1072,120,33,0,1
0.201147,3809,100,1072,120,33,0,1
0.204156,3810,150,1064,119,33,0,1
0.207251,3810,150,1072,120,33,0,1
0.211242,3810,150,1072,119,33,0,1
0.215299,3811,150,1064,120,33,0,1
0.219170,3811,150,1072,120,33,0,1
0.222150,3811,150,1072,119,33,0,1
0.225162,3812,100,1064,120,33,0,1
0.228125,3812,100,1072,120,33,0,1
0.231137,3812,100,1072,120,33,0,1
0.234153,3813,100,1064,120,33,0,1
0.237128,3813,100,1064,120,33,0,1
0.240144,3813,100,1072,120,33,0,1
0.243131,3813,100,1072,119,33,0,1
0.246140,3814,50,1064,119,33,0,1
0.249127,3814,50,1072,120,33,0,1
0.252158,3814,50,1072,119,33,0,1
0.255249,3815,50,1064,120,33,0,1
0.259212,3815,50,1072,120,33,0,1
0.262163,3815,50,1072,120,33,0,1
0.265155,3816,150,1064,120,33,0,1
0.268149,3816,150,1072,120,33,0,1
0.271126,3816,150,1072,120,33,0,1
0.274153,3816,150,1072,120,33,0,1
0.277150,3817,150,1064,120,33,0,1
0.280230,3817,150,1072,119,33,0,1
0.283146,3818,150,1064,120,33,0,1
0.286236,3818,100,1064,120,33,0,1
0.289286,3819,100,1060,120,33,0,1
0.292516,3819,100,1060,120,33,0,1
0.296286,3819,100,1060,119,33,0,1
0.300192,3820,100,1060,119,33,0,1
0.303202,3820,100,1060,120,33,0,1
0.306174,3820,100,1060,120,33,0,1
0.309138,3820,100,1068,120,33,0,1
0.312126,3820,100,1076,120,33,0,1
0.315134,3820,100,1076,120,33,0,1
0.318174,3821,100,1076,120,33,0,1
0.321132,3821,100,1076,120,33,0,1
0.324149,3821,50,1076,120,33,0,1
0.327261,3822,50,1076,119,33,0,1
0.331215,3822,50,1072,119,33,0,1
0.334170,3822,50,1072,120,33,0,1
0.337198,3823,50,1072,120,33,0,1
0.340181,3823,50,1072,119,33,0,1
0.343131,3824,150,1064,120,33,0,1
0.346167,3824,150,1064,120,33,0,1
0.349147,3824,150,1072,120,33,0,1
0.352147,3825,150,1064,120,33,0,1
0.355131,3825,150,1064,119,33,0,1
0.358136,3825,150,1072,120,33,0,1
0.361181,3826,150,1064,120,33,0,1
0.364279,3826,100,1064,120,33,0,1
0.368214,3826,100,1072,120,33,0,1
0.371174,3826,100,1072,120,33,0,1
0.374175,3827,100,1064,120,33,0,1
0.377131,3827,100,1072,119,33,0,1
0.380128,3827,100,1072,120,33,0,1
0.383159,3827,50,1072,120,33,0,1
0.386164,3827,50,1072,120,33,0,1
0.389136,3828,50,1072,120,33,0,1
0.392129,3828,50,1072,120,33,0,1
0.395130,3829,50,1064,120,33,0,1
0.398277,3829,50,1072,120,33,0,1
0.402239,3829,50,1072,120,33,0,1
0.405168,3830,100,1064,120,33,0,1
0.408257,3830,100,1072,120,33,0,1
0.411149,3830,100,1072,120,33,0,1
0.414133,3831,100,1064,120,33,0,1
0.417152,3831,100,1072,120,33,0,1
0.420155,3831,100,1072,120,33,0,1
0.423138,3831,100,1072,120,33,0,1
0.426159,3832,100,1064,120,33,0,1
0.429138,3832,100,1072,119,33,0,1
0.432235,3832,100,1072,119,33,0,1
0.435245,3833,100,1064,119,33,0,1
0.438151,3833,100,1072,119,33,0,1
0.441192,3833,100,1072,120,33,0,1
0.444148,3833,100,1072,120,33,0,1
0.447162,3833,100,1080,120,33,0,1
0.450156,3834,100,1072,120,33,0,1
0.453149,3834,100,1072,119,33,0,1
0.456139,3834,100,1072,120,33,0,1
0.459135,3835,100,1072,120,33,0,1
0.462133,3835,100,1072,120,33,0,1
0.465153,3835,100,1072,120,33,0,1
0.468263,3836,100,1072,120,33,0,1
0.472212,3836,100,1072,120,33,0,1
0.475170,3836,100,1072,120,33,0,1
0.478162,3836,100,1080,120,34,0,1
0.481165,3837,100,1072,120,33,0,1
0.484192,3837,100,1072,120,33,0,1
0.487256,3837,100,1080,120,33,0,1
0.490225,3838,100,1076,120,33,0,1
0.493172,3838,100,1076,120,33,0,1
0.496141,3838,100,1076,119,33,0,1
0.499138,3839,100,1076,120,33,0,1
0.502171,3839,100,1076,120,33,0,1
0.505265,3840,100,1068,119,33,0,1
0.509223,3840,100,1068,120,33,0,1
0.512149,3840,100,1068,120,33,0,1
0.515176,3840,100,1068,120,33,0,1
0.518216,3841,100,1068,120,33,0,1
0.521142,3841,100,1068,120,33,0,1
0.524142,3841,100,1068,120,33,0,1
0.527152,3841,100,1076,120,33,0,1
0.530144,3842,100,1072,119,33,0,1
0.533142,3842,100,1072,119,33,0,1
0.536161,3843,100,1064,120,33,0,1
0.539188,3843,100,1072,120,33,0,1
0.542290,3843,100,1072,119,33,0,1
0.546236,3843,100,1072,120,33,0,1
0.549181,3844,100,1072,120,33,0,1
0.552269,3844,100,1072,120,33,0,1
0.556150,3844,100,1072,120,33,0,1
0.559140,3845,100,1072,120,33,0,1
0.562137,3845,100,1072,120,33,0,1
0.565156,3846,100,1064,120,33,0,1
0.568176,3846,100,1072,120,33,0,1
