cap,start,target,end,moved,completion_s,deg_s,max_load,samples,rpm_per_lsb
30,3905,3793,3794,-111,2.2690001430455595,4.299629246345143,1044,805,0.023886829146361907
60,3904,3792,3793,-111,1.9006281530018896,5.132965835316815,1044,785,0.014258238431435597
100,3903,3791,3792,-111,1.1908628740347922,8.192260912413811,1044,801,0.013653768187356353
