t_s,pos,speed,load,voltage,temp,status,moving
0.000002,3904,0,0,119,33,0,1
0.003569,3904,0,0,120,33,0,1
0.006517,3904,0,24,120,33,0,1
0.009518,3904,0,24,120,33,0,1
0.012541,3904,0,28,119,33,0,1
0.015526,3904,0,28,120,33,0,1
0.018531,3904,0,28,119,33,0,1
0.021640,3904,0,36,120,33,0,1
0.025606,3904,0,36,120,33,0,1
0.028529,3904,0,36,120,33,0,1
0.031586,3904,0,36,120,33,0,1
0.034706,3903,0,28,120,33,0,1
0.038626,3903,0,36,120,33,0,1
0.042617,3903,0,36,119,33,0,1
0.045539,3903,-32718,36,120,33,0,1
0.048527,3903,-32718,36,120,33,0,1
0.051522,3903,-32718,32,120,33,0,1
0.054522,3903,-32718,32,120,33,0,1
0.057626,3903,-32718,40,120,34,0,1
0.060663,3903,-32718,40,120,33,0,1
0.064652,3903,0,40,120,33,0,1
0.068576,3903,0,40,120,33,0,1
0.071563,3903,0,44,120,33,0,1
0.074521,3903,0,52,120,33,0,1
0.077521,3903,0,52,120,33,0,1
0.080532,3903,0,52,120,33,0,1
0.083524,3902,0,44,120,33,0,1
0.086523,3902,-32718,44,120,33,0,1
0.089519,3902,-32718,52,120,33,0,1
0.092555,3902,-32718,52,120,33,0,1
0.095686,3901,-32718,44,120,33,0,1
0.099588,3901,-32718,44,120,33,0,1
0.102534,3901,-32718,44,120,33,0,1
0.105545,3901,-32718,52,120,33,0,1
0.108541,3900,-32718,44,120,33,0,1
0.111521,3900,-32718,36,120,32,0,1
0.114530,3900,-32718,36,120,33,0,1
0.117525,3900,-32718,36,120,33,0,1
0.120524,3899,-32718,28,120,33,0,1
0.123520,3899,-32718,36,120,33,0,1
0.126519,3899,-32668,36,119,33,0,1
0.129597,3899,-32668,36,120,33,0,1
0.133087,3898,-32668,28,120,33,0,1
0.136595,3898,-32668,28,120,33,0,1
0.139556,3898,-32668,36,120,33,0,1
0.142542,3898,-32668,36,119,33,0,1
0.145614,3898,-32718,36,120,33,0,1
0.148541,3898,-32718,36,120,33,0,1
0.151537,3898,-32718,44,120,33,0,1
0.154534,3897,-32718,36,120,33,0,1
0.157523,3897,-32718,44,119,33,0,1
