t_s,pos,speed,load,voltage,temp,status,moving
0.000001,3792,0,0,119,33,0,1
0.003872,3792,0,0,120,33,0,1
0.006872,3792,0,0,120,33,0,1
0.009886,3792,0,0,120,33,0,1
0.012859,3792,0,0,120,33,0,1
0.015830,3792,0,1048,120,33,0,1
0.018826,3792,0,1048,120,33,0,1
0.021840,3792,0,1048,120,33,0,1
0.024826,3792,0,1048,120,33,0,1
0.027827,3792,0,1056,120,33,0,1
0.030882,3792,0,1064,120,33,0,1
0.033971,3792,0,1064,119,33,0,1
0.037971,3792,0,1072,120,33,0,1
0.041929,3792,0,1072,120,33,0,1
0.044859,3792,0,1072,120,33,0,1
0.047929,3792,0,1080,119,33,0,1
0.050845,3792,0,1080,119,33,0,1
0.053867,3792,0,1080,120,33,0,1
0.056844,3792,0,1080,120,33,0,1
0.059833,3792,0,1088,120,33,0,1
0.062843,3792,0,1088,120,33,0,1
0.065858,3792,0,1088,120,33,0,1
0.068838,3793,0,1084,120,33,0,1
0.071971,3793,0,1084,120,33,0,1
0.075979,3793,0,1084,119,33,0,1
0.080150,3793,0,1092,120,33,0,1
0.083917,3794,100,1084,120,33,0,1
0.086891,3794,100,1084,120,33,0,1
0.089887,3795,100,1084,119,33,0,1
0.092845,3795,100,1084,120,33,0,1
0.095844,3796,100,1076,120,33,0,1
0.098859,3796,100,1084,119,33,0,1
0.101995,3797,150,1076,120,33,0,1
0.105893,3797,150,1076,120,33,0,1
0.108902,3798,150,1064,120,33,0,1
0.111905,3798,150,1064,120,33,0,1
0.114838,3799,150,1056,120,33,0,1
0.117842,3799,150,1064,120,33,0,1
0.120848,3799,150,1064,119,33,0,1
0.123863,3799,100,1064,119,33,0,1
0.126834,3799,100,1064,120,33,0,1
0.129839,3800,100,1072,119,33,0,1
0.132850,3800,100,1072,119,33,0,1
0.135832,3801,100,1064,119,33,0,1
0.138862,3801,100,1072,120,33,0,1
0.141842,3801,100,1072,120,33,0,1
0.144952,3801,100,1072,119,33,0,1
0.147973,3802,100,1072,120,33,0,1
0.151837,3802,100,1072,120,33,0,1
0.154864,3803,100,1064,119,33,0,1
0.157923,3803,100,1072,119,33,0,1
0.160832,3803,100,1072,119,33,0,1
0.163835,3804,100,1064,120,33,0,1
0.166832,3804,100,1064,120,33,0,1
0.169839,3804,100,1072,119,33,0,1
0.172863,3804,100,1072,120,33,0,1
0.175836,3805,100,1064,119,33,0,1
0.178843,3805,100,1072,120,33,0,1
0.181996,3805,100,1072,120,33,0,1
0.185868,3805,100,1072,120,33,0,1
0.188860,3806,100,1072,119,33,0,1
0.191864,3806,100,1072,120,33,0,1
0.194847,3807,100,1064,120,33,0,1
0.197863,3807,100,1072,120,33,0,1
0.200831,3807,100,1072,120,33,0,1
0.203850,3808,100,1064,120,33,0,1
0.206846,3808,100,1072,120,33,0,1
0.209850,3808,100,1072,119,33,0,1
0.212843,3808,100,1072,120,33,0,1
0.215970,3809,100,1064,120,33,0,1
0.219910,3809,100,1072,119,33,0,1
0.222856,3809,100,1072,120,33,0,1
0.225884,3810,100,1064,120,33,0,1
0.228857,3810,100,1072,120,33,0,1
0.231843,3810,100,1072,119,33,0,1
0.234836,3811,100,1064,120,33,0,1
0.237878,3811,100,1072,119,33,0,1
0.240854,3811,100,1072,119,33,0,1
0.243838,3812,150,1064,120,33,0,1
0.246842,3812,150,1072,119,33,0,1
0.249940,3812,150,1072,120,33,0,1
0.252947,3813,150,1064,119,33,0,1
0.255847,3813,150,1064,120,33,0,1
0.258919,3813,150,1072,120,33,0,1
0.261849,3813,50,1072,120,33,0,1
0.264845,3814,50,1064,119,33,0,1
0.267837,3814,50,1072,120,33,0,1
0.270854,3814,50,1072,120,33,0,1
0.273865,3814,50,1072,120,33,0,1
0.276839,3815,50,1072,119,33,0,1
0.279842,3815,50,1072,120,33,0,1
0.282838,3815,100,1072,120,33,0,1
0.285971,3816,100,1072,119,33,0,1
0.289927,3816,100,1072,120,33,0,1
0.292916,3817,100,1064,120,33,0,1
0.295922,3817,100,1064,120,33,0,1
0.298906,3817,100,1072,120,33,0,1
0.301917,3818,150,1064,120,33,0,1
0.304913,3818,150,1064,119,33,0,1
0.307891,3818,150,1072,120,33,0,1
0.310845,3819,150,1064,120,33,0,1
0.313875,3819,150,1064,119,33,0,1
0.316842,3819,150,1072,120,33,0,1
0.319838,3820,150,1064,120,33,0,1
0.322923,3820,100,1064,120,33,0,1
0.325967,3820,100,1072,120,33,0,1
